CxS	Chan1	Chan2	Chan3	Chan4	Chan5	Chan6	Chan7
0000	ADC1	ADC2	ADC3	DFSDM1_FLT0	DFSDM1_FLT1	DFSDM1_FLT2	DFSDM1_FLT3
0001		SPI1_RX	SPI1_TX	SPI2_RX	SPI2_TX	SAI2_A	SAI2_B
0010		USART3_TX	USART3_RX	USART1_TX	USART1_RX	USART2_RX	USART2_TX
0011		I2C3_TX	I2C3_RX	I2C2_TX	I2C2_RX	I2C1_TX	I2C1_RX
0100	TIM2_CH3	TIM2_UP	TIM16_CH1/TIM16_UP		TIM2_CH1	TIM16_CH1/TIM16_UP	TIM2_CH2/TIM2_CH4
0101	TIM17_CH1/TIM17_UP	TIM3_CH3	TIM3_CH4/TIM3_UP	TIM7_UP/DAC_CH2	QUADSPI	TIM3_CH1/TIM3_TRIG	TIM17_CH1/TIM17_UP
0110	TIM4_CH1		TIM6_UP/DAC_CH1	TIM4_CH2	TIM4_CH3		TIM4_UP
0111		TIM1_CH1	TIM1_CH2	TIM1_CH4/TIM1_TRIG/TIM1_COM	TIM15_CH1/TIM15_UP/TIM15_TRIG/TIM15_COM	TIM1_UP	TIM1_CH3
1111							
0000	I2C4_RX	I2C4_TX	ADC1	ADC2	ADC3	DCMI	
0001	SAI1_A	SAI1_B	SAI2_A	SAI2_B		SAI1_A	SAI1_B
0010	UART5_TX	UART5_RX	UART4_TX		UART4_RX	USART1_TX	USART1_RX
0011	SPI3_RX	SPI3_TX		TIM6_UP/DAC_CH1	TIM7_UP/DAC_CH2		QUADSPI
0100	SWPMI1_RX	SWPMI1_TX	SPI1_RX	SPI1_TX	DCMI	LPUART1_TX	LPUART1_RX
0101	TIM5_CH4/TIM5_TRIG	TIM5_CH3/TIM5_UP		TIM5_CH2	TIM5_CH1	I2C1_RX	I2C1_TX
0110	AES_IN	AES_OUT	AES_OUT		AES_IN		HASH_IN
0111	TIM8_CH3/TIM8_UP	TIM8_CH4/TIM8_TRIG/TIM8_COM		SDMMC1	SDMMC1	TIM8_CH1	TIM8_CH2
